song_name,artist_name,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
O Glaros,Afroditi Manou,I Podilatissa,0.528,0.601,-6.448,0.0277,0.508,0.0,0.0761,0.857,182.068
Sou To 'Pa Gia Ta Synnefa,Afroditi Manou,I Podilatissa,0.339,0.31,-10.659,0.0329,0.875,4.89e-05,0.273,0.415,116.235
Stin Xylini Paragka,Afroditi Manou,I Podilatissa,0.513,0.444,-8.99,0.0251,0.693,0.0,0.362,0.502,104.233
O Avgoustos,Afroditi Manou,I Podilatissa,0.492,0.357,-10.353,0.0299,0.624,0.000118,0.137,0.779,135.049
O Chameleon,Afroditi Manou,I Podilatissa,0.37,0.416,-7.634,0.0308,0.658,1.02e-06,0.0785,0.385,136.882
Louloudaki,Afroditi Manou,Keros Gia Dio,0.49,0.213,-14.36,0.0433,0.952,0.0,0.104,0.462,111.301
Keros Gia Dio,Afroditi Manou,Keros Gia Dio,0.768,0.432,-13.147,0.0371,0.586,5.73e-05,0.151,0.864,117.924
Gis Madiam,Afroditi Manou,Keros Gia Dio,0.462,0.362,-12.585,0.0397,0.311,0.0,0.101,0.387,103.551
Me To Kalokeri Malosa,Afroditi Manou,Keros Gia Dio,0.309,0.164,-14.109,0.0434,0.926,0.0,0.118,0.362,70.931
Ston Psihanaliti,Afroditi Manou,Keros Gia Dio,0.706,0.563,-11.18,0.0284,0.0548,0.0,0.0963,0.9,97.026
Karavi Kokkino,Afroditi Manou,Keros Gia Dio,0.37,0.285,-15.022,0.0351,0.534,0.0,0.133,0.49,150.391
Mia Paliokatina,Afroditi Manou,Keros Gia Dio,0.723,0.414,-11.632,0.0429,0.398,0.0,0.275,0.517,121.299
Amore Mio,Afroditi Manou,Keros Gia Dio,0.525,0.493,-12.295,0.0471,0.219,0.0,0.334,0.662,111.688
O Hronos Ine Krima,Afroditi Manou,Keros Gia Dio,0.468,0.417,-11.287,0.05,0.376,0.0,0.346,0.459,170.677
Arseniko,Afroditi Manou,Keros Gia Dio,0.719,0.651,-10.916,0.0446,0.325,0.000132,0.0987,0.934,94.629
To Milo,Afroditi Manou,Keros Gia Dio,0.353,0.128,-15.978,0.04,0.842,0.0,0.122,0.0954,88.589
Piso Apo Ta Kathimerina,Afroditi Manou,Apopeira,0.567,0.539,-9.516,0.036,0.301,1.93e-05,0.0745,0.421,76.618
Me Mathimatiki Akriveia,Afroditi Manou,Apopeira,0.556,0.584,-8.908,0.0298,0.225,0.00166,0.309,0.753,90.956
Mesimeri Me Yposheseis,Afroditi Manou,Apopeira,0.465,0.27,-12.714,0.0364,0.813,0.000892,0.113,0.254,122.061
Mas Listepsan,Afroditi Manou,Apopeira,0.642,0.442,-9.265,0.0368,0.517,0.0,0.346,0.797,86.724
Apopeira,Afroditi Manou,Apopeira,0.638,0.565,-8.448,0.0244,0.219,0.287,0.106,0.645,123.353
Stegni Anoixi,Afroditi Manou,Apopeira,0.426,0.315,-13.623,0.0326,0.688,0.0059,0.226,0.203,104.31
O Isovitis,Afroditi Manou,Apopeira,0.434,0.31,-9.378,0.0399,0.923,0.00278,0.153,0.15,97.1
Hamilose,Afroditi Manou,Apopeira,0.592,0.554,-7.594,0.0327,0.487,0.00047,0.127,0.437,123.48
Meres Sto Iodio,Afroditi Manou,Apopeira,0.231,0.0666,-16.684,0.0385,0.283,0.00224,0.0886,0.166,99.001
O Trelos,Manolis Mitsias,Paron,0.607,0.54,-7.973,0.0332,0.784,0.0,0.0943,0.752,144.007
Se Mathane,Manolis Mitsias,Paron,0.568,0.39,-9.286,0.0326,0.791,0.0,0.104,0.707,121.993
Ama Perasi Touto Do,Manolis Mitsias,Paron,0.632,0.608,-6.918,0.0334,0.721,0.0,0.0834,0.703,81.132
