song_name,artist_name,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Oi Fylakes Sta Vourla,Sotiria Bellou,O Ai Laos (Remastered),0.584,0.481,-7.928,0.0303,0.914,1.62e-06,0.0929,0.601,81.979
Varethika Ti Monaxia,Sotiria Bellou,O Ai Laos (Remastered),0.617,0.466,-6.861,0.0326,0.448,0.0,0.181,0.572,118.732
San To Sidero,Sotiria Bellou,O Ai Laos (Remastered),0.667,0.485,-6.026,0.0359,0.687,0.0,0.0996,0.413,116.084
Perastikos Ki Amilitos,Sotiria Bellou,O Ai Laos (Remastered),0.446,0.372,-9.011,0.0256,0.884,0.000528,0.101,0.264,92.172
Tha Me Dikasei - Instrumental,Sotiria Bellou,O Ai Laos (Remastered),0.389,0.415,-6.88,0.029,0.911,0.000765,0.0961,0.321,116.639
Orhistriko (Me Kalispera Dimitri Mitropanou),Dimitris Mitropanos,Krifa,0.333,0.656,-6.788,0.0339,0.153,0.000128,0.629,0.174,134.502
Nihta,Dimitris Mitropanos,Krifa,0.349,0.52,-6.221,0.0298,0.401,0.0,0.281,0.592,106.255
Fili Fili S' Anastisa,Dimitris Mitropanos,Krifa,0.449,0.511,-6.876,0.0258,0.405,0.0,0.243,0.44,106.681
Akou,Dimitris Mitropanos,Krifa,0.53,0.734,-5.661,0.127,0.362,0.0,0.293,0.578,86.278
S' Agapo San Amartia,Dimitris Mitropanos,Krifa,0.506,0.57,-6.068,0.034,0.448,0.0,0.327,0.69,130.189
Stis Psihis To Parakato,Dimitris Mitropanos,Krifa,0.595,0.581,-7.243,0.0284,0.349,0.0,0.16,0.844,138.844
Tou Votanikou O Magas,Dimitris Mitropanos,Krifa,0.553,0.69,-4.955,0.0312,0.301,0.0,0.36,0.869,75.306
Medley : Den Tha Xanagapiso / O Monomahos / Agapi Mou Tin Alli Fora / O Paliatzis,Dimitris Mitropanos,Krifa,0.409,0.579,-8.203,0.0304,0.499,1.02e-05,0.135,0.364,125.517
I Doulia Kani Tous Adres,Dimitris Mitropanos,Krifa,0.611,0.624,-5.729,0.0301,0.4,0.0,0.0604,0.561,116.19
S' Agapo Akoma,Dimitris Mitropanos,Krifa,0.374,0.667,-5.738,0.0323,0.219,0.0,0.102,0.401,105.654
Parapono,Dimitris Mitropanos,Krifa,0.488,0.626,-4.873,0.031,0.259,0.0,0.305,0.617,117.557
Den Kleo Gia Tora,Dimitris Mitropanos,Krifa,0.489,0.649,-5.639,0.0274,0.422,0.0,0.294,0.648,103.311
Allotines Mou Epohes,Dimitris Mitropanos,Krifa,0.476,0.659,-6.391,0.0333,0.51,1.93e-05,0.307,0.7,93.09
Ta Navla,Dimitris Mitropanos,Krifa,0.715,0.682,-5.306,0.0283,0.491,1.4e-06,0.0787,0.779,102.163
Savvatovrado Stin Kesariani,Dimitris Mitropanos,Krifa,0.576,0.465,-6.285,0.0289,0.652,0.0,0.0934,0.477,134.17
Otan Eho Esena,Dimitris Mitropanos,Krifa,0.374,0.499,-6.431,0.0298,0.516,0.0,0.151,0.273,114.879
Parapono Mou,Dimitris Mitropanos,Krifa,0.458,0.572,-6.327,0.0258,0.491,0.0,0.19,0.314,101.077
An Ise Plai Mou,Dimitris Mitropanos,Krifa,0.476,0.605,-6.578,0.0297,0.522,0.0,0.265,0.413,124.575
Me To Voria,Dimitris Mitropanos,Krifa,0.547,0.518,-6.367,0.0274,0.508,0.0,0.117,0.688,137.831
Mana Mou Ellas,Dimitris Mitropanos,Krifa,0.544,0.491,-5.276,0.0335,0.696,0.0,0.157,0.546,106.05
Oum Haram (694 M.H.-To Tragoudi Ton Vedouinon),Dimitris Mitropanos,Krifa,0.601,0.656,-5.006,0.0361,0.372,0.0,0.222,0.788,112.448
Proto Fthinoporo,Dimitris Mitropanos,Krifa,0.574,0.469,-7.412,0.032,0.453,0.0,0.339,0.619,119.127
Ta Dilina,Dimitris Mitropanos,Krifa,0.543,0.591,-6.923,0.0362,0.453,0.0,0.229,0.493,122.216
Opia Ke Na 'se,Dimitris Mitropanos,Krifa,0.563,0.542,-5.803,0.0288,0.543,2.93e-06,0.274,0.528,123.845
Iparho,Dimitris Mitropanos,Krifa,0.49,0.739,-5.961,0.0302,0.58,4.06e-06,0.176,0.549,105.618
Kane Kati Na Haso To Treno,Dimitris Mitropanos,Krifa,0.475,0.672,-8.17,0.0389,0.14,0.0,0.0889,0.721,142.219
Medley : Mi Mou Lete Gi' Afti / Dakrismeni / To 'xera Pos Tha Mou Figis / Moro Mou,Dimitris Mitropanos,Krifa,0.557,0.761,-6.317,0.0377,0.251,0.0,0.527,0.641,97.056
Svise To Fegari,Dimitris Mitropanos,Krifa,0.574,0.615,-6.142,0.0314,0.357,0.0,0.219,0.411,115.295
Emena De M' Agapise Kaneis,Dimitris Mitropanos,Krifa,0.527,0.599,-5.258,0.0281,0.624,0.0,0.097,0.616,134.425
Eisai Oraia San Amartia,Dimitris Mitropanos,Krifa,0.447,0.684,-5.198,0.0495,0.535,0.0,0.178,0.819,208.667
Mi Htipas S' Ena Spiti Klisto,Dimitris Mitropanos,Krifa,0.514,0.658,-5.687,0.0278,0.423,0.0,0.35,0.717,102.184
Tha Pio Apopse To Feggari,Dimitris Mitropanos,Krifa,0.374,0.517,-7.334,0.0299,0.52,1.48e-05,0.165,0.257,121.834
Pote,Dimitris Mitropanos,Krifa,0.264,0.309,-8.944,0.0325,0.718,3.87e-05,0.215,0.209,138.335
Avgi Anthismeni,Dimitris Mitropanos,Krifa,0.424,0.402,-6.821,0.0274,0.67,0.0,0.123,0.211,116.3
Erhode Vradia,Dimitris Mitropanos,Krifa,0.429,0.616,-6.923,0.0496,0.398,0.0,0.591,0.503,91.378
Mana Pou Zo,Dimitris Mitropanos,Krifa,0.5,0.697,-5.401,0.031,0.324,0.0,0.128,0.895,157.376
Mia Ekdromi,Dimitris Mitropanos,Krifa,0.496,0.576,-6.003,0.0305,0.488,0.0,0.211,0.41,133.55
Dipsa O Erotas Ki Almira,Dimitris Mitropanos,Krifa,0.453,0.483,-7.806,0.0286,0.392,0.0,0.111,0.447,96.268
Enas Kobos I Hara Mou,Dimitris Mitropanos,Krifa,0.343,0.683,-6.708,0.0335,0.603,0.0,0.675,0.405,111.015
To Filotimo T' Adrikio,Dimitris Mitropanos,Krifa,0.45,0.609,-5.75,0.0345,0.544,0.0,0.279,0.732,161.36
Ego Ime Ena Paliopedo,Dimitris Mitropanos,Krifa,0.542,0.52,-7.073,0.0297,0.436,0.0,0.314,0.804,120.94
O Hartaetos,Dimitris Mitropanos,Krifa,0.279,0.434,-6.49,0.0334,0.681,0.0,0.139,0.298,182.865
San Planodio Tsirko,Dimitris Mitropanos,Krifa,0.401,0.616,-5.366,0.0461,0.4,0.0,0.513,0.369,73.964
Den Fteo Ego Pou Megalono,Dimitris Mitropanos,Krifa,0.317,0.55,-7.891,0.0306,0.342,0.0,0.105,0.243,122.453
Anepidoto,Dimitris Mitropanos,Krifa,0.399,0.543,-4.92,0.0341,0.561,0.0,0.122,0.275,119.003
Medley : Drapetsona / Sinnefiasmeni Kiraki,Dimitris Mitropanos,Krifa,0.542,0.537,-6.929,0.0293,0.561,0.0,0.0663,0.415,118.906
Ena To Helidoni,Dimitris Mitropanos,Krifa,0.638,0.522,-7.178,0.0288,0.579,0.0,0.489,0.64,110.791
Tis Dikeosinis Ilie Noite,Dimitris Mitropanos,Krifa,0.641,0.406,-7.77,0.0276,0.386,0.0,0.326,0.558,118.592
Tis Agapis Emata,Dimitris Mitropanos,Krifa,0.199,0.489,-7.298,0.0305,0.588,0.0,0.365,0.444,186.041
Me To Lihno Tou Astrou,Dimitris Mitropanos,Krifa,0.267,0.22,-10.222,0.0376,0.887,0.0,0.199,0.124,124.017
Anigo To Stoma Mou,Dimitris Mitropanos,Krifa,0.28,0.415,-8.804,0.0301,0.572,1.58e-05,0.184,0.176,86.694
I Nihta,Dimitris Mitropanos,Krifa,0.212,0.548,-5.847,0.0291,0.449,3.14e-06,0.117,0.336,177.19
Pios Ti Zoi Mou,Dimitris Mitropanos,Krifa,0.518,0.523,-9.314,0.033,0.372,0.0,0.0818,0.654,94.664
Xenitemeno Mou Pouli,Dimitris Mitropanos,Krifa,0.192,0.223,-11.441,0.0356,0.401,6.93e-06,0.13,0.0551,74.098
Ola Ine Edo,Dimitris Mitropanos,Krifa,0.519,0.3,-10.121,0.0392,0.639,6.75e-05,0.152,0.375,131.842
O Amlet Tis Selinis,Dimitris Mitropanos,Krifa,0.331,0.472,-9.703,0.0335,0.136,1.42e-05,0.284,0.171,145.949
Gia Mia Dolores,Dimitris Mitropanos,Krifa,0.301,0.346,-8.334,0.0328,0.738,0.0,0.376,0.109,107.542
Klapste Ourani Ki Asteria,Dimitris Mitropanos,Krifa,0.347,0.552,-5.159,0.029,0.83,0.0,0.133,0.528,102.303
O Timvorihos,Dimitris Mitropanos,Krifa,0.391,0.43,-7.676,0.0383,0.368,0.0,0.0838,0.35,125.622
To Hatiri,Dimitris Mitropanos,Krifa,0.509,0.569,-5.967,0.0386,0.624,0.0,0.502,0.364,111.811
Kosme Mou 'gines Pligi,Dimitris Mitropanos,Krifa,0.515,0.579,-8.253,0.0299,0.694,1.72e-06,0.148,0.651,119.433
Dromi Skonismeni,Dimitris Mitropanos,Krifa,0.234,0.519,-6.106,0.0297,0.63,0.0,0.125,0.447,90.772
Edelvais,Dimitris Mitropanos,Krifa,0.449,0.331,-8.512,0.0269,0.636,0.0,0.121,0.206,106.365
Mikros Titanikos,Dimitris Mitropanos,Krifa,0.559,0.568,-8.028,0.0325,0.72,0.0,0.506,0.457,136.556
Pedi Tis Asfaltou,Dimitris Mitropanos,Krifa,0.233,0.411,-8.839,0.033,0.602,0.000109,0.28,0.302,179.079
O Aggelos,Dimitris Mitropanos,Krifa,0.386,0.376,-8.491,0.0335,0.724,0.0,0.44,0.459,72.907
Savvatovrado,Dimitris Mitropanos,Krifa,0.576,0.465,-6.285,0.0289,0.652,0.0,0.0934,0.477,134.17
I Diki Mou I Patrida,Dimitris Mitropanos,Krifa,0.437,0.603,-5.708,0.0312,0.327,0.0,0.415,0.446,96.02
Mikro Mou Votsalo,Dimitris Mitropanos,Krifa,0.199,0.425,-8.276,0.0316,0.769,5.21e-06,0.228,0.17,170.282
I Roza Pai Volta,Dimitris Mitropanos,Krifa,0.399,0.429,-9.141,0.0307,0.743,0.000656,0.223,0.213,123.268
Afta Ta Heria,Dimitris Mitropanos,Krifa,0.579,0.501,-9.323,0.035,0.651,0.0,0.16,0.564,128.031
Ke Ti Den Kano,Dimitris Mitropanos,Krifa,0.538,0.509,-7.257,0.0271,0.278,0.0,0.142,0.54,94.31
Hroma Den Allazoune Ta Matia,Dimitris Mitropanos,Krifa,0.376,0.604,-5.38,0.0318,0.546,1.17e-06,0.346,0.471,60.454
To Tholomeno Mou Mialo,Dimitris Mitropanos,Krifa,0.586,0.45,-7.997,0.0339,0.492,0.0,0.0787,0.606,133.717
Vrehi Sti Ftohogitonia,Dimitris Mitropanos,Krifa,0.467,0.661,-4.224,0.0316,0.443,0.0,0.122,0.453,134.054
Mia Fora Monaha Ftani,Dimitris Mitropanos,Krifa,0.521,0.387,-8.44,0.0294,0.415,0.0,0.165,0.605,122.365
Pios Ftei Mi Rotas,Dimitris Mitropanos,Krifa,0.334,0.56,-8.444,0.0311,0.519,0.0,0.156,0.437,90.143
Pethamenes Kalisperes,Dimitris Mitropanos,Krifa,0.364,0.493,-8.599,0.0309,0.481,0.0,0.628,0.155,132.879
Vrehi Sti Ftohogitonia - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.464,0.557,-6.838,0.0298,0.589,0.0,0.568,0.483,133.717
Ta Ladadika - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.483,0.492,-7.562,0.0376,0.78,1.41e-06,0.44,0.23,122.215
Roza - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.443,0.674,-5.902,0.0303,0.707,0.0,0.478,0.37,128.5
Ilie Mou Se Parakalo - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.36,0.559,-7.394,0.0351,0.502,1.15e-05,0.679,0.193,124.341
Erotiko - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.399,0.546,-6.828,0.0337,0.676,0.0,0.428,0.236,126.339
Dio Portes Ehi I Zoi - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.412,0.554,-9.012,0.0376,0.648,0.0,0.862,0.476,125.256
Nihtose Horis Feggari - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.417,0.552,-8.114,0.0316,0.585,1.77e-05,0.706,0.334,119.25
"O, ti Agapao Ego Petheni - Live",Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.512,0.618,-7.116,0.0364,0.545,0.0,0.753,0.383,126.819
Paraponemena Logia - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.473,0.55,-6.811,0.0312,0.44,0.0,0.727,0.435,118.77
Zeibekiko - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.419,0.416,-8.231,0.0314,0.735,0.0,0.137,0.176,124.098
Ston Aggelon Ta Bouzoukia - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.43,0.578,-6.493,0.0347,0.689,0.0,0.794,0.508,141.592
Sinnefiasmeni Kiriaki - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.387,0.543,-8.016,0.0342,0.619,8.06e-06,0.367,0.551,124.835
Ta Matoklada Sou Laboun - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.487,0.722,-7.039,0.046,0.747,0.000555,0.779,0.891,144.919
Thalasses,Dimitris Mitropanos,I Ethniki Mas Monaxia,0.251,0.361,-13.728,0.0342,0.657,0.0,0.181,0.234,99.974
S' Anazito Sti Saloniki,Dimitris Mitropanos,I Ethniki Mas Monaxia,0.667,0.368,-13.637,0.0452,0.668,0.0,0.344,0.432,114.589
Pos Mou Milas,Dimitris Mitropanos,I Ethniki Mas Monaxia,0.634,0.548,-13.065,0.0482,0.762,0.0,0.224,0.812,110.448
Mia Stasi Edo,Dimitris Mitropanos,I Ethniki Mas Monaxia,0.633,0.454,-13.113,0.034,0.66,0.0,0.0939,0.482,122.022
Pali Se Thimithika,Dimitris Mitropanos,I Ethniki Mas Monaxia,0.421,0.373,-15.141,0.0319,0.761,0.00146,0.1,0.109,92.988
I Ethniki Mas Monaxia,Dimitris Mitropanos,I Ethniki Mas Monaxia,0.54,0.369,-15.324,0.0343,0.675,0.0,0.273,0.402,126.253
Krata Kardia Mou Enos Leptou Sigi,Dimitris Mitropanos,I Ethniki Mas Monaxia,0.586,0.38,-13.128,0.0349,0.677,0.0,0.124,0.401,122.523
Tha Kourastis Na Pezis Theatro,Dimitris Mitropanos,I Ethniki Mas Monaxia,0.566,0.602,-13.941,0.0436,0.483,2.87e-05,0.188,0.615,137.348
Ena Parapono,Dimitris Mitropanos,I Ethniki Mas Monaxia,0.552,0.386,-13.814,0.031,0.682,1.72e-06,0.0496,0.641,128.676
Kimisou,Dimitris Mitropanos,I Ethniki Mas Monaxia,0.176,0.153,-19.026,0.0433,0.869,0.0,0.0849,0.211,181.891
Allazo Prosopa,Dimitris Mitropanos,Stis Psihis To Parakato,0.556,0.52,-7.651,0.0265,0.3,0.0,0.18,0.603,96.06
Sirines,Dimitris Mitropanos,Stis Psihis To Parakato,0.601,0.679,-8.146,0.0334,0.522,0.00253,0.346,0.525,112.081
I Monaxia Ine Horos,Dimitris Mitropanos,Stis Psihis To Parakato,0.662,0.614,-8.674,0.0319,0.494,1.06e-05,0.102,0.502,134.19
Aggelos Tou Nostou,Dimitris Mitropanos,Stis Psihis To Parakato,0.573,0.554,-7.138,0.0301,0.684,0.0,0.309,0.332,115.162
Agapi Giali,Dimitris Mitropanos,Stis Psihis To Parakato,0.401,0.586,-7.57,0.035,0.61,0.0,0.118,0.519,156.155
Tholo Potami To Perasma Sou,Dimitris Mitropanos,Stis Psihis To Parakato,0.552,0.641,-6.832,0.0316,0.715,0.0,0.0978,0.689,116.218
Glikia Melagholia,Dimitris Mitropanos,Stis Psihis To Parakato,0.635,0.562,-7.323,0.0309,0.523,0.0,0.166,0.724,128.165
To Stihima (To Tragoudi Tis Eftihias),Dimitris Mitropanos,Stis Psihis To Parakato,0.565,0.538,-7.504,0.0263,0.631,0.0,0.219,0.623,81.036
Skia Tou Dilinou,Dimitris Mitropanos,Stis Psihis To Parakato,0.751,0.623,-7.192,0.0291,0.325,0.0,0.185,0.899,108.231
To Mistiko,Dimitris Mitropanos,Stis Psihis To Parakato,0.509,0.259,-9.981,0.0266,0.802,6.44e-05,0.0866,0.237,90.261
Zoi Dalika Kokkini,Dimitris Mitropanos,Sti Diapason,0.484,0.659,-7.084,0.0359,0.46,1.04e-05,0.138,0.389,116.655
Dipsa O Erotas Ki Armira,Dimitris Mitropanos,Sti Diapason,0.265,0.519,-7.257,0.0321,0.717,0.0,0.159,0.357,184.188
Thes Enan Kosmo Pio Megalo,Dimitris Mitropanos,Sti Diapason,0.482,0.467,-7.259,0.0304,0.796,1.14e-05,0.126,0.226,119.634
Osi Zoun Alithina,Dimitris Mitropanos,Sti Diapason,0.396,0.562,-7.28,0.0536,0.494,3.13e-05,0.0946,0.605,68.509
Tha Figo Nihta,Dimitris Mitropanos,Sti Diapason,0.531,0.602,-7.119,0.0418,0.437,1.75e-06,0.0578,0.537,186.025
Kapote,Dimitris Mitropanos,Sti Diapason,0.617,0.505,-7.611,0.0316,0.861,0.0,0.139,0.642,110.124
"Agapi Mou, Tin Alli Fora",Dimitris Mitropanos,Sti Diapason,0.633,0.643,-6.46,0.038,0.574,8.98e-05,0.277,0.646,138.075
Ke Pali Edo,Dimitris Mitropanos,Sti Diapason,0.465,0.438,-7.798,0.0293,0.726,0.0,0.0901,0.294,120.049
Ime Anthropos Akoma,Dimitris Mitropanos,Sti Diapason,0.417,0.553,-7.881,0.0396,0.732,0.0,0.167,0.552,203.827
O Monomahos,Dimitris Mitropanos,Sti Diapason,0.61,0.57,-7.675,0.0311,0.659,2.51e-05,0.109,0.415,121.987
Palevo,Dimitris Mitropanos,Sti Diapason,0.381,0.443,-10.007,0.0551,0.859,0.00017,0.0972,0.315,180.368
Erotas Archagelos,Dimitris Mitropanos,Sti Diapason,0.692,0.604,-6.309,0.0356,0.749,0.0,0.0728,0.677,123.956
To Zeibekiko Tis Evdokias - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.62,0.657,-6.961,0.0278,0.339,0.416,0.939,0.367,131.732
Stena Mou Sinora,Dimitris Mitropanos,Stis Psihis To Parakato,0.614,0.564,-7.133,0.0299,0.13,0.0,0.176,0.248,128.27
Zeibekikos - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.501,0.836,-6.656,0.0423,0.515,0.914,0.402,0.58,160.336
Periergo Pehnidi,Dimitris Mitropanos,Krifa,0.343,0.482,-8.412,0.0344,0.621,0.0,0.142,0.467,115.579
Agapi Pou 'gines Dikopo Maheri / Den Xero Poso S' Agapo - Live,Dimitris Mitropanos,Iparhi Ke ... To Zeibekiko (Live),0.399,0.507,-7.811,0.0384,0.688,0.0,0.943,0.283,132.39
To koritsaki mou,Dimitris Mystakidis,Esperanto,0.864,0.533,-6.251,0.0288,0.8,0.0,0.105,0.929,100.042
Tzemile,Dimitris Mystakidis,Esperanto,0.537,0.426,-9.143,0.0358,0.83,3.9e-05,0.102,0.692,110.156
O pasatempos,Dimitris Mystakidis,Esperanto,0.491,0.359,-7.895,0.0362,0.834,2.7e-06,0.332,0.48,66.705
Mak Poule,Dimitris Mystakidis,Esperanto,0.624,0.364,-6.769,0.0252,0.878,0.00026,0.114,0.274,89.888
Skotose me (To macheri),Dimitris Mystakidis,Esperanto,0.577,0.402,-10.469,0.0362,0.835,7.06e-06,0.275,0.478,80.67
Tampakera,Dimitris Mystakidis,Esperanto,0.641,0.318,-8.494,0.0272,0.841,3.33e-06,0.0844,0.462,84.003
Tin porta mi mou klinis,Dimitris Mystakidis,Esperanto,0.494,0.426,-6.652,0.0313,0.82,0.0,0.197,0.751,177.879
Sklaves tou macharagia,Dimitris Mystakidis,Esperanto,0.77,0.471,-9.109,0.0313,0.758,1.4e-06,0.0924,0.821,135.095
Adynaton na koimitho,Dimitris Mystakidis,Esperanto,0.7,0.364,-10.694,0.0299,0.865,0.000114,0.148,0.531,109.961
Na glitosoume kai i dyo,Dimitris Mystakidis,Esperanto,0.745,0.363,-10.545,0.0425,0.89,3.61e-05,0.0752,0.767,119.928
Samba mou xigiese,Dimitris Mystakidis,Esperanto,0.743,0.528,-6.612,0.0313,0.792,0.0,0.331,0.85,97.521
Echasa ta matia ta orea,Dimitris Mystakidis,Esperanto,0.772,0.467,-7.592,0.0265,0.884,1.98e-06,0.111,0.855,100.031
Mira Me Katadikases,Dimitris Mystakidis,Esperanto,0.599,0.589,-9.757,0.0359,0.906,0.309,0.108,0.855,100.017
Tha fygo tha me chasis,Dimitris Mystakidis,Esperanto,0.692,0.43,-8.9,0.0277,0.856,5.58e-06,0.23,0.619,85.065
Tha chatho mikri mou,Dimitris Mystakidis,Esperanto,0.68,0.334,-8.756,0.0452,0.917,0.000106,0.12,0.78,180.146
Paraxeni Kopela,Dimitris Mystakidis,Esperanto,0.693,0.319,-10.798,0.0269,0.936,0.000227,0.248,0.436,104.047
Arage na mai kapios allos,Dimitris Zervoudakis,Sta hamila kai sta psila,0.751,0.395,-9.754,0.0333,0.734,9.13e-05,0.0943,0.478,124.11
Par ta vimata sou,Dimitris Zervoudakis,Sta hamila kai sta psila,0.613,0.409,-9.023,0.0325,0.514,0.0,0.0684,0.445,123.839
Me to kormi na kaigetai,Dimitris Zervoudakis,Sta hamila kai sta psila,0.766,0.346,-10.311,0.0324,0.649,0.0,0.104,0.572,105.017
Leasing eytyxias,Dimitris Zervoudakis,Sta hamila kai sta psila,0.686,0.322,-12.637,0.0368,0.596,0.0111,0.141,0.355,131.922
Sta xamila kai sta psila,Dimitris Zervoudakis,Sta hamila kai sta psila,0.496,0.612,-7.165,0.0313,0.342,0.00889,0.157,0.493,140.947
T aneipota,Dimitris Zervoudakis,Sta hamila kai sta psila,0.812,0.407,-7.112,0.0385,0.263,1.03e-06,0.0817,0.83,119.973
Oti kai na kanw,Dimitris Zervoudakis,Sta hamila kai sta psila,0.442,0.217,-9.816,0.0351,0.827,0.0,0.201,0.317,127.101
Thelw navgw ston ilio,Dimitris Zervoudakis,Sta hamila kai sta psila,0.467,0.3,-11.857,0.0341,0.815,2.39e-06,0.113,0.273,121.419
Oti kai na sou simvei,Dimitris Zervoudakis,Sta hamila kai sta psila,0.606,0.239,-14.19,0.0411,0.569,8.01e-05,0.184,0.34,83.121
Dendro mou ageroxo,Dimitris Zervoudakis,Sta hamila kai sta psila,0.528,0.405,-11.683,0.0304,0.722,2.34e-05,0.124,0.143,143.889
Xameni Kyriaki,Dimitris Zervoudakis,Sta hamila kai sta psila,0.721,0.379,-7.938,0.0316,0.368,0.0,0.0615,0.461,124.004
Eleytheria,Dimitris Zervoudakis,Sta hamila kai sta psila,0.494,0.3,-14.843,0.0355,0.699,4.04e-05,0.135,0.341,115.768
Theoria Ke Praxi,Dimitris Zervoudakis,Mia Zoi Stin Idia Taxi,0.443,0.196,-16.889,0.0381,0.417,1.24e-05,0.143,0.288,144.379
Megalos Ine O Kosmos,Dimitris Zervoudakis,Mia Zoi Stin Idia Taxi,0.375,0.245,-14.216,0.033,0.465,0.00722,0.246,0.553,113.485
Ola Ehoun Gini,Dimitris Zervoudakis,Mia Zoi Stin Idia Taxi,0.689,0.291,-14.848,0.044,0.779,2.97e-05,0.108,0.563,125.991
I Asheti,Dimitris Zervoudakis,Mia Zoi Stin Idia Taxi,0.797,0.302,-11.297,0.0355,0.524,0.0,0.0654,0.566,112.136
Apoklismenos Sti Saloniki,Dimitris Zervoudakis,Mia Zoi Stin Idia Taxi,0.63,0.276,-15.72,0.0323,0.465,0.00421,0.125,0.51,116.053
Toxovoli,Dimitris Zervoudakis,Mia Zoi Stin Idia Taxi,0.791,0.355,-12.888,0.0413,0.522,1.39e-05,0.0712,0.782,115.954
Navagos Stin Agapi,Dimitris Zervoudakis,Mia Zoi Stin Idia Taxi,0.653,0.39,-11.687,0.0347,0.552,0.00171,0.136,0.506,120.204
To Hali Mas,Dimitris Zervoudakis,Mia Zoi Stin Idia Taxi,0.795,0.437,-13.01,0.034,0.729,1.96e-05,0.197,0.783,116.103
Xehimoniazi,Dimitris Zervoudakis,Mia Zoi Stin Idia Taxi,0.65,0.25,-13.093,0.0318,0.834,0.000115,0.199,0.543,120.067
Se Katastasi Kindinou,Dimitris Zervoudakis,Mia Zoi Stin Idia Taxi,0.611,0.234,-16.594,0.0329,0.672,0.000243,0.094,0.415,119.935
Ilios Pou Ipsonete,Dimitris Zervoudakis,Ehe To Nou Sou,0.496,0.256,-15.903,0.0449,0.396,0.0,0.0962,0.728,100.547
O Tehnokratis,Dimitris Zervoudakis,Ehe To Nou Sou,0.798,0.258,-14.443,0.0597,0.258,2.57e-05,0.224,0.783,107.114
Ta Dio Sou Hili Potamos,Dimitris Zervoudakis,Ehe To Nou Sou,0.526,0.361,-15.508,0.0448,0.708,7.19e-05,0.0858,0.688,92.368
Lefka Poulia,Dimitris Zervoudakis,Ehe To Nou Sou,0.641,0.173,-15.545,0.033,0.764,6.97e-05,0.0825,0.407,112.255
Neraides,Dimitris Zervoudakis,Ehe To Nou Sou,0.664,0.152,-13.963,0.11,0.56,0.0,0.122,0.421,125.104
O Amerikanos,Dimitris Zervoudakis,Ehe To Nou Sou,0.567,0.204,-17.831,0.0343,0.753,3.7e-06,0.152,0.65,152.454
To Dakri,Dimitris Zervoudakis,Ehe To Nou Sou,0.585,0.121,-16.416,0.0463,0.0764,0.0,0.0928,0.698,92.511
Htes To Vradi St' Oniro Mou,Dimitris Zervoudakis,Ehe To Nou Sou,0.689,0.176,-16.043,0.0379,0.606,1.54e-05,0.0655,0.267,100.107
To Vlefaraki,Dimitris Zervoudakis,Ehe To Nou Sou,0.687,0.253,-18.325,0.0349,0.716,0.149,0.0487,0.814,88.054
Ehe To Nou Sou,Dimitris Zervoudakis,Ehe To Nou Sou,0.744,0.215,-15.853,0.0634,0.437,0.0,0.0405,0.543,127.956
Tria Vouna,Dimitris Zervoudakis,Ehe To Nou Sou,0.531,0.199,-18.069,0.0364,0.872,5.97e-06,0.109,0.497,78.04
O Naftis,Dimitris Zervoudakis,Klis' Ta Matia Sou Ke Kita,0.489,0.278,-11.727,0.0427,0.307,0.0,0.459,0.312,158.008
Neyi,Dimitris Zervoudakis,Klis' Ta Matia Sou Ke Kita,0.809,0.651,-11.56,0.0627,0.289,7.41e-06,0.174,0.759,94.057
Varia Pota Varia Tsigara,Dimitris Zervoudakis,Klis' Ta Matia Sou Ke Kita,0.823,0.314,-12.272,0.0504,0.317,0.0,0.0967,0.3,130.244
To Proto Potiri,Dimitris Zervoudakis,Klis' Ta Matia Sou Ke Kita,0.69,0.462,-10.469,0.0272,0.115,0.00757,0.224,0.648,130.184
Ida Ena Filo,Dimitris Zervoudakis,Klis' Ta Matia Sou Ke Kita,0.714,0.522,-13.051,0.0414,0.113,0.00163,0.0635,0.765,95.148
Gorgona Utopia,Dimitris Zervoudakis,Klis' Ta Matia Sou Ke Kita,0.613,0.355,-13.495,0.0391,0.261,0.0,0.237,0.178,165.853
